Source	Target
Lu2013ADeepArchitecture	Hu2015ConvolutionalNeuralNetwork
Mikolov2013EfficientEstimationOf	Hu2015ConvolutionalNeuralNetwork
Mikolov2010RecurrentNeuralNetwork	Hu2015ConvolutionalNeuralNetwork
Rich2000OverfittingInNeural	Hu2015ConvolutionalNeuralNetwork
Rus2008ParaphraseIdentificationWith	Hu2015ConvolutionalNeuralNetwork
Shen2014LearningSemanticRepresentations	Hu2015ConvolutionalNeuralNetwork
Socher2011DynamicPoolingAnd	Hu2015ConvolutionalNeuralNetwork
Socher2011ParsingNaturalScenes	Hu2015ConvolutionalNeuralNetwork
Socher2011SemisupervisedRecursiveAutoencoders	Hu2015ConvolutionalNeuralNetwork
Song2014OnDatalessHierarchical	Hu2015ConvolutionalNeuralNetwork
Sun2013HybridDeepLearning	Hu2015ConvolutionalNeuralNetwork
Vishwanathan2010GraphKernels	Hu2015ConvolutionalNeuralNetwork
Wang2010ModelingSemanticRelevance	Hu2015ConvolutionalNeuralNetwork
Wang2013ADatasetFor	Hu2015ConvolutionalNeuralNetwork
Wu2013LearningBilinearModel	Hu2015ConvolutionalNeuralNetwork
Xue2008RetrievalModelsFor	Hu2015ConvolutionalNeuralNetwork
Hu2015ConvolutionalNeuralNetwork	Yue2017EnhancedQuestionUnderstanding
Hu2015ConvolutionalNeuralNetwork	Zhou2017ModelingAndLearning
Hu2015ConvolutionalNeuralNetwork	Gui2017LearningRepresentationsFrom
Hu2015ConvolutionalNeuralNetwork	Gong2017SuperpixelbasedDifferenceRepresentation
Hu2015ConvolutionalNeuralNetwork	Xiang2017AnswerSelectionIn
Hu2015ConvolutionalNeuralNetwork	Chen2017DiversityRegularizedLatent
Hu2015ConvolutionalNeuralNetwork	Tajbakhsh2017ComparingTwoClasses
Hu2015ConvolutionalNeuralNetwork	Li2017LstmbasedDeepLearning
Hu2015ConvolutionalNeuralNetwork	Mitra2017NeuralTextEmbeddings
Hu2015ConvolutionalNeuralNetwork	Wei2017IKnowWhat
Hu2015ConvolutionalNeuralNetwork	Zhao2017TopicawareDeepCompositional
Hu2015ConvolutionalNeuralNetwork	Zhu2017MeasuringPatientSimilarities
Hu2015ConvolutionalNeuralNetwork	Zhiqiang2017ANovelMedical
Hu2015ConvolutionalNeuralNetwork	Mahesh2017InvariantMomentsBased
Hu2015ConvolutionalNeuralNetwork	Fu2016ConvolutionalDeepNeural
Hu2015ConvolutionalNeuralNetwork	Shen2016BidirectionalLongShortterm
Hu2015ConvolutionalNeuralNetwork	Bao2016ATensorNeural
Hu2015ConvolutionalNeuralNetwork	Li2016TweetModelingWith
Hu2015ConvolutionalNeuralNetwork	Lauren2016ClinicalNarrativeClassification
Hu2015ConvolutionalNeuralNetwork	Tong2016DeepMatchBetween
Hu2015ConvolutionalNeuralNetwork	Tymoshenko2016LearningToRank
Hu2015ConvolutionalNeuralNetwork	Yang2016AnmmRankingShort
Hu2015ConvolutionalNeuralNetwork	Guo2016ADeepRelevance
Hu2015ConvolutionalNeuralNetwork	Tan2016ANeuralNetwork
Hu2015ConvolutionalNeuralNetwork	Yan2016ShallIBe
Hu2015ConvolutionalNeuralNetwork	Zhang2016RetweetPredictionWith
Hu2015ConvolutionalNeuralNetwork	Fu2016VisualCortexInspired
Hu2015ConvolutionalNeuralNetwork	Yan2016LearningToRespond
Hu2015ConvolutionalNeuralNetwork	Li2016DeepLearningFor
Hu2015ConvolutionalNeuralNetwork	Zhou2016LearningTheMultilingual
Hu2015ConvolutionalNeuralNetwork	Kelley2016BassetLearningThe
Hu2015ConvolutionalNeuralNetwork	He2016CrossmodalRetrievalVia
Hu2015ConvolutionalNeuralNetwork	Jiang2016AChineseText
Hu2015ConvolutionalNeuralNetwork	Tang2016FlawRecognitionMethod
Hu2015ConvolutionalNeuralNetwork	Palangi2016DeepSentenceEmbedding
Hu2015ConvolutionalNeuralNetwork	Yan2016DrivingPostureRecognition
Hu2015ConvolutionalNeuralNetwork	Ma2016MultimodalConvolutionalNeural
Hu2015ConvolutionalNeuralNetwork	Yan2016RecognizingDriverInattention
Hu2015ConvolutionalNeuralNetwork	Feng2016ApplyingDeepLearning
Hu2015ConvolutionalNeuralNetwork	Zhou2016LearningSemanticRepresentation
Hu2015ConvolutionalNeuralNetwork	Liu2016KnowledgeRepresentationLearning
Hu2015ConvolutionalNeuralNetwork	De2016LearningSemanticSimilarity
Hu2015ConvolutionalNeuralNetwork	Low2016LearningHierarchicalRepresentation
Hu2015ConvolutionalNeuralNetwork	Yan2016DrivingPostureRecognition
Hu2015ConvolutionalNeuralNetwork	Wan2016MatchsrnnModelingThe
Hu2015ConvolutionalNeuralNetwork	Yan2016IPoetAutomatic
Hu2015ConvolutionalNeuralNetwork	Wan2016ADeepArchitecture
Hu2015ConvolutionalNeuralNetwork	Liu2016ASentenceInteraction
Hu2015ConvolutionalNeuralNetwork	Meng2016ContextawareTreebasedConvolutional
Hu2015ConvolutionalNeuralNetwork	Huang2016CharacterawareConvolutionalNeural
Hu2015ConvolutionalNeuralNetwork	Cao2016TgsumBuildTweet
Hu2015ConvolutionalNeuralNetwork	Pang2016TextMatchingAs
Hu2015ConvolutionalNeuralNetwork	Ma2016StructuralSentenceSimilarity
Hu2015ConvolutionalNeuralNetwork	Lu2016HierarchicalQuestionimageCoattention
Hu2015ConvolutionalNeuralNetwork	Yin2016NeuralGenerativeQuestion
Hu2015ConvolutionalNeuralNetwork	Fang2016CommunitybasedQuestionAnswering
Hu2015ConvolutionalNeuralNetwork	Liu2016DeepFusionLstms
Hu2015ConvolutionalNeuralNetwork	Mou2016NaturalLanguageInference
Hu2015ConvolutionalNeuralNetwork	Renter2016SiameseCbowOptimizing
Hu2015ConvolutionalNeuralNetwork	Gui2016IntersubjectivityAndSentiment
Hu2015ConvolutionalNeuralNetwork	Tan2016ImprovedRepresentationLearning
Hu2015ConvolutionalNeuralNetwork	Tymoshenko2016ConvolutionalNeuralNetworks
Hu2015ConvolutionalNeuralNetwork	Chen2016ImplicitDiscourseRelation
Hu2015ConvolutionalNeuralNetwork	Li2016VisualQuestionAnswering
Hu2015ConvolutionalNeuralNetwork	Ma2016LearningToAnswer
Hu2015ConvolutionalNeuralNetwork	Peng2016NewsCitationRecommendation
Hu2015ConvolutionalNeuralNetwork	He2016PairwiseWordInteraction
Hu2015ConvolutionalNeuralNetwork	Kenter2015ShortTextSimilarity
Hu2015ConvolutionalNeuralNetwork	Wang2015ImagetextCrossmodalRetrieval
Hu2015ConvolutionalNeuralNetwork	Wang2015SyntaxbasedDeepMatching
Hu2015ConvolutionalNeuralNetwork	Dos2015ClassifyingRelationsBy
Hu2015ConvolutionalNeuralNetwork	Hu2015ContextdependentTranslationSelection
Hu2015ConvolutionalNeuralNetwork	Qiu2015ConvolutionalNeuralTensor
Hu2015ConvolutionalNeuralNetwork	Yin2015MultigrancnnAnArchitecture
Hu2015ConvolutionalNeuralNetwork	Xu2015ConvolutionalNeuralNetworks
Hu2015ConvolutionalNeuralNetwork	Wang2015AConvolutionalArchitecture
Hu2015ConvolutionalNeuralNetwork	Chen2015SentenceModelingWith
Hu2015ConvolutionalNeuralNetwork	Meng2015EncodingSourceLanguage
Hu2015ConvolutionalNeuralNetwork	Zhang2015LocalTranslationPrediction
Hu2015ConvolutionalNeuralNetwork	Zhou2015AnAutoencoderFor
Hu2015ConvolutionalNeuralNetwork	Dos2015LearningHybridRepresentations
Hu2015ConvolutionalNeuralNetwork	Severyn2015DistributionalNeuralNetworks
Hu2015ConvolutionalNeuralNetwork	Hu2015LcstsALarge
Hu2015ConvolutionalNeuralNetwork	Zhou2015AnswerSequenceLearning
Hu2015ConvolutionalNeuralNetwork	Song2015UnsupervisedSparseVector
Hu2015ConvolutionalNeuralNetwork	Peng2015AComparativeStudy
Hu2015ConvolutionalNeuralNetwork	Yin2015ConvolutionalNeuralNetwork
Hu2015ConvolutionalNeuralNetwork	Nguyen2015EventDetectionAnd
Hu2015ConvolutionalNeuralNetwork	Zhao2015SelfadaptiveHierarchicalSentence
Hu2015ConvolutionalNeuralNetwork	Ma2015AccurateLineartimeChinese
Hu2015ConvolutionalNeuralNetwork	Liu2015MultitimescaleLongShortterm
Hu2015ConvolutionalNeuralNetwork	Mou2015DiscriminativeNeuralSentence
Hu2015ConvolutionalNeuralNetwork	He2015MultiperspectiveSentenceSimilarity
Baroni2010NounsAreVectors	Kalchbrenner2014AConvolutionalNeural
Blunsom2006QuestionClassificationWith	Kalchbrenner2014AConvolutionalNeural
Clarke2012AContexttheoreticFramework	Kalchbrenner2014AConvolutionalNeural
Coecke2010NoTitleAvailable	Kalchbrenner2014AConvolutionalNeural
Collobert2008AUnifiedArchitecture	Kalchbrenner2014AConvolutionalNeural
Duchi2011AdaptiveSubgradientMethods	Kalchbrenner2014AConvolutionalNeural
Erk2008AStructuredVector	Kalchbrenner2014AConvolutionalNeural
Erk2012VectorSpaceModels	Kalchbrenner2014AConvolutionalNeural
Gers2001LstmRecurrentNetworks	Kalchbrenner2014AConvolutionalNeural
Go2009TwitterSentimentClassification	Kalchbrenner2014AConvolutionalNeural
Grefenstette2011ExperimentalSupportFor	Kalchbrenner2014AConvolutionalNeural
Grefenstette2013NoTitleAvailable	Kalchbrenner2014AConvolutionalNeural
Guevara2010ModellingAdjectivenounCompositionality	Kalchbrenner2014AConvolutionalNeural
Hermann2013TheRoleOf	Kalchbrenner2014AConvolutionalNeural
Hinton2012NoTitleAvailable	Kalchbrenner2014AConvolutionalNeural
Hinton1989ConnectionistLearningProcedures	Kalchbrenner2014AConvolutionalNeural
Huang2008QuestionClassificationUsing	Kalchbrenner2014AConvolutionalNeural
Kalchbrenner2013RecurrentContinuousTranslation	Kalchbrenner2014AConvolutionalNeural
Kalchbrenner2013RecurrentConvolutionalNeural	Kalchbrenner2014AConvolutionalNeural
Kartsaklis2013PriorDisambiguationOf	Kalchbrenner2014AConvolutionalNeural
Kchler1996InductiveLearningIn	Kalchbrenner2014AConvolutionalNeural
LeCun1998GradientbasedLearningApplied	Kalchbrenner2014AConvolutionalNeural
Li2002LearningQuestionClassifiers	Kalchbrenner2014AConvolutionalNeural
Mikolov2012ContextDependentRecurrent	Kalchbrenner2014AConvolutionalNeural
Mikolov2011ExtensionsOfRecurrent	Kalchbrenner2014AConvolutionalNeural
Mitchell2008VectorbasedModelsOf	Kalchbrenner2014AConvolutionalNeural
Mitchell2010CompositionInDistributional	Kalchbrenner2014AConvolutionalNeural
Pollack1990RecursiveDistributedRepresentations	Kalchbrenner2014AConvolutionalNeural
Schwenk2012ContinuousSpaceTranslation	Kalchbrenner2014AConvolutionalNeural
Silva2011FromSymbolicTo	Kalchbrenner2014AConvolutionalNeural
Socher2011SemisupervisedRecursiveAutoencoders	Kalchbrenner2014AConvolutionalNeural
Socher2013GroundedCompositionalSemantics	Kalchbrenner2014AConvolutionalNeural
Socher2013RecursiveDeepModels	Kalchbrenner2014AConvolutionalNeural
Turian2010WordRepresentationsA	Kalchbrenner2014AConvolutionalNeural
Turney2012DomainAndFunction	Kalchbrenner2014AConvolutionalNeural
Waibel1990NoTitleAvailable	Kalchbrenner2014AConvolutionalNeural
